,ID,API Name,Details,Func Return,Func Parameter,Start,Duration,Queued,Submitted
:,3899,cudaGetLastError,,cudaSuccess(0),,,,,
:,3900,cudaLaunchKernel,,cudaSuccess(0),"(0x557cd87224fd, {30,1,1}, {1024,1,1}, 0x7ffd8cd8f570{0x7ffd8cd8f538}, 0, 0x0)",,,,
:,3901,cuLaunchKernel,,CUDA_SUCCESS(0),"(0x557cf2500180, 30, 1, 1, 1024, 1, 1, 0, 0x0, 0x7ffd8cd8f570{0x7ffd8cd8f538}, 0x0)",,,,
:,3902,fusedMinKernel,Error: Profiling is not supported on this device,cudaSuccess(0),,,,,
:,3903,cudaGetLastError,,cudaSuccess(0),,,,,
:,3904,cudaDeviceSynchronize,,cudaSuccess(0),,,,,
:,3905,cuCtxSynchronize,,CUDA_SUCCESS(0),(),,,,
:,3906,cudaLaunchKernel,,cudaSuccess(0),"(0x557cd87226b9, {30,1,1}, {1024,1,1}, 0x7ffd8cd8f560{0x7ffd8cd8f528}, 0, 0x0)",,,,
:,3907,cuLaunchKernel,,CUDA_SUCCESS(0),"(0x557cf24f7cd0, 30, 1, 1, 1024, 1, 1, 0, 0x0, 0x7ffd8cd8f560{0x7ffd8cd8f528}, 0x0)",,,,
:,3908,short_path_update_atomic,Error: Profiling is not supported on this device,cudaSuccess(0),,,,,
:,3909,cudaGetLastError,,cudaSuccess(0),,,,,
:,3910,cudaDeviceSynchronize,,cudaSuccess(0),,,,,
:,3911,cuCtxSynchronize,,CUDA_SUCCESS(0),(),,,,
:,3912,cudaMemcpyToSymbol,,cudaSuccess(0),"(0x557cd872c180, 0x7ffd8cd8f638, 8, 0, cudaMemcpyHostToDevice(1))",,,,
:,3913,cuModuleGetGlobal_v2,,CUDA_SUCCESS(0),"(0x7ffd8cd8f3a8{0x601760000}, 0x7ffd8cd8f3b0{8}, 0x557cf24f9390, ""global_min"")",,,,
:,3914,cuMemcpyHtoD_v2,,CUDA_SUCCESS(0),"(0x601760000, 0x7ffd8cd8f638, 8)",,,,
:,3915,cudaGetLastError,,cudaSuccess(0),,,,,
:,3916,cudaLaunchKernel,,cudaSuccess(0),"(0x557cd87224fd, {30,1,1}, {1024,1,1}, 0x7ffd8cd8f570{0x7ffd8cd8f538}, 0, 0x0)",,,,
:,3917,cuLaunchKernel,,CUDA_SUCCESS(0),"(0x557cf2500180, 30, 1, 1, 1024, 1, 1, 0, 0x0, 0x7ffd8cd8f570{0x7ffd8cd8f538}, 0x0)",,,,
:,3918,fusedMinKernel,Error: Profiling is not supported on this device,cudaSuccess(0),,,,,
:,3919,cudaGetLastError,,cudaSuccess(0),,,,,
:,3920,cudaDeviceSynchronize,,cudaSuccess(0),,,,,
:,3921,cuCtxSynchronize,,CUDA_SUCCESS(0),(),,,,
:,3922,cudaLaunchKernel,,cudaSuccess(0),"(0x557cd87226b9, {30,1,1}, {1024,1,1}, 0x7ffd8cd8f560{0x7ffd8cd8f528}, 0, 0x0)",,,,
:,3923,cuLaunchKernel,,CUDA_SUCCESS(0),"(0x557cf24f7cd0, 30, 1, 1, 1024, 1, 1, 0, 0x0, 0x7ffd8cd8f560{0x7ffd8cd8f528}, 0x0)",,,,
:,3924,short_path_update_atomic,Error: Profiling is not supported on this device,cudaSuccess(0),,,,,
:,3925,cudaGetLastError,,cudaSuccess(0),,,,,
:,3926,cudaDeviceSynchronize,,cudaSuccess(0),,,,,
:,3927,cuCtxSynchronize,,CUDA_SUCCESS(0),(),,,,
:,3928,cudaMemcpyToSymbol,,cudaSuccess(0),"(0x557cd872c180, 0x7ffd8cd8f638, 8, 0, cudaMemcpyHostToDevice(1))",,,,
:,3929,cuModuleGetGlobal_v2,,CUDA_SUCCESS(0),"(0x7ffd8cd8f3a8{0x601760000}, 0x7ffd8cd8f3b0{8}, 0x557cf24f9390, ""global_min"")",,,,
:,3930,cuMemcpyHtoD_v2,,CUDA_SUCCESS(0),"(0x601760000, 0x7ffd8cd8f638, 8)",,,,
:,3931,cudaGetLastError,,cudaSuccess(0),,,,,
:,3932,cudaLaunchKernel,,cudaSuccess(0),"(0x557cd87224fd, {30,1,1}, {1024,1,1}, 0x7ffd8cd8f570{0x7ffd8cd8f538}, 0, 0x0)",,,,
:,3933,cuLaunchKernel,,CUDA_SUCCESS(0),"(0x557cf2500180, 30, 1, 1, 1024, 1, 1, 0, 0x0, 0x7ffd8cd8f570{0x7ffd8cd8f538}, 0x0)",,,,
:,3934,fusedMinKernel,Error: Profiling is not supported on this device,cudaSuccess(0),,,,,
:,3935,cudaGetLastError,,cudaSuccess(0),,,,,
:,3936,cudaDeviceSynchronize,,cudaSuccess(0),,,,,
